unique_id,ds,AutoARIMA,AutoARIMA-lo-90,AutoARIMA-hi-90,Moirai,Moirai-lo-90,Moirai-hi-90,Prophet,Prophet-lo-90,Prophet-hi-90
all,2023-01-02,3475.820848868543,1251.7292648723192,5699.912432864767,3321.3074,2367.884,3974.8591,2341.928069835774,-4580.179168632193,10394.456066029563
all,2023-01-03,1846.7207927142542,-755.0089117674263,4448.450497195935,3071.208,2318.4702,4077.395,1999.1859301402997,-5010.289813666748,9359.661374226731
all,2023-01-04,2877.920476725565,-176.35043459420058,5932.19138804533,4065.3142,2901.6313,5617.479,3250.5433208819613,-4258.135510531317,10536.073951155151
all,2023-01-05,4698.153515799124,1421.8310255746428,7974.476006023605,4336.5254,3090.4834,6697.8447,5299.172924234453,-2192.5504013935706,12795.92138112938
all,2023-01-06,4589.7322706094365,1139.578845050381,8039.885696168492,4361.0703,3077.916,6438.056,4762.996278710671,-2425.6340048102093,11983.46137575936
all,2023-01-07,3970.3087214726397,466.1802597872852,7474.437183157994,4336.7935,2996.3235,7069.5835,4790.364615804824,-2321.9894955500195,11739.590578114903
all,2023-01-08,4247.441896790904,573.0528993553444,7921.830894226464,4320.0786,2868.6636,6460.877,4682.317321411877,-2709.3359866044675,11984.903918970622
all,2023-01-09,3402.294838271471,-634.2706783475014,7438.860354890443,3293.6353,2173.6465,5557.722,4164.263223423314,-3387.1188143342524,11740.408481527718
all,2023-01-10,2035.2513809097368,-2331.742664511297,6402.24542633077,2985.652,1612.457,4933.711,3930.7608452202558,-3525.4343445294703,11965.559837757533
all,2023-01-11,2920.2325393190276,-1653.5662095262733,7494.0312881643285,4068.8047,2522.9683,7898.2363,5290.725775974175,-2313.3874626807874,12249.917850985299
all,2023-01-12,4683.1117958925915,-71.29086982485023,9437.514461610033,4571.1094,2803.1455,7501.9033,7446.2560499929,-440.01566528100057,15104.480453475267
all,2023-01-13,4545.389527566804,-314.85845264882937,9405.637507782438,4415.739,2005.3743,7297.828,7013.895849506161,-867.3321905715313,14251.63359186595
all,2023-01-14,3928.6881105098128,-984.3273468177704,8841.703567837396,4276.74,2929.7798,7267.8354,7140.3383540583545,-164.49128006970886,14343.405323618921
all,2023-01-15,4149.315170321949,-883.9599130439601,9182.590253687858,4358.3247,3051.6313,7128.2734,7124.717231110648,198.53813341086428,14197.262953581163
all,2023-01-16,3412.3654659666354,-1892.3337540424245,8717.064685975696,3438.1484,2110.2896,5619.195,6690.3313150544545,-815.9043223199449,14160.547076773475
all,2023-01-17,2162.8813740665664,-3386.4647849566954,7712.227533089828,3164.1372,1748.6619,7750.125,6529.477641253063,-825.0853479143454,14267.495465753107
all,2023-01-18,2990.2365393584555,-2720.231625341625,8700.704704058537,3642.3486,1637.8914,7070.911,7948.719716294947,926.0084459776261,15782.966388093837
all,2023-01-19,4645.800837517914,-1204.3525103258144,10495.954185361643,4334.4336,2200.4976,7366.4375,10147.780379449585,2842.4563516167555,17308.943891431543
all,2023-01-20,4513.162109335565,-1426.3821452872498,10452.70636395838,4505.097,2519.4421,8359.009,9740.8778036218,2356.6071898241466,17191.348436181048
all,2023-01-21,3883.404929995521,-2104.885098886081,9871.694958877122,4123.0586,2336.139,7844.3853,9872.50350780759,2335.0353609069225,17476.23375012592
all,2023-01-22,4066.5115703573047,-2024.9144604484281,10157.937601163037,4310.737,2056.4355,10077.936,9839.789790571658,2344.7121775789374,17754.070414371523
all,2023-01-23,3420.159921978271,-2892.2881199971525,9732.607963953695,3343.7732,1729.2698,6716.7964,9364.30896726282,2324.650515076058,17174.03875876668
all,2023-01-24,2284.37664039845,-4229.698937654854,8798.452218451754,2988.3196,1670.3755,5895.5703,9136.977392034085,1785.3254032032526,16481.024377135247
all,2023-01-25,3053.704432167453,-3594.1608064833263,9701.569670818233,3892.444,1455.2026,7957.664,10463.38899845268,2934.380352861647,18300.216994639457
all,2023-01-26,4608.5271240637885,-2156.2835492895047,11373.337797417082,4195.7295,2468.5999,11090.082,12542.765664377435,5146.606519184073,19871.409234530725
all,2023-01-27,4479.514544474079,-2364.8079827566135,11323.837071704773,4416.9297,2287.6663,7577.8975,11989.341055670235,4731.725043604207,19888.19592997186
all,2023-01-28,3842.961324537483,-3048.6547295631817,10734.577378638147,3974.2605,2058.203,7851.4746,11948.175137346076,4706.042934527738,19205.36532743665
all,2023-01-29,3992.561294881729,-2991.9100585406277,10977.032648304084,4091.7896,2037.5051,8484.972,11717.545338713619,3973.149809664217,18632.586680368495
all,2023-01-30,3429.0212902646226,-3744.8183163642752,10602.86089689352,3353.7417,1811.6902,7086.865,11020.75563599969,3294.3908136727446,18211.365366157286
